kernel,variant,time_mean_s,time_stddev_s
conv2d,affine,0.09882069066000002,0.0012076895075517808
conv2d,affine_tiled_16,0.11246258254,0.0011548318625327833
batch_matmul,affine,0.044694514920000004,0.0008763137872614408
batch_matmul,affine_tiled_16,0.05812890768000001,0.0005465855315197863
softmax,scf,0.04462907729999999,0.0004958526513043079
